Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Spotsylvania County Public Schools,Courtland High,Medium Poverty,All Schools,6.5,7,16.8,18,3.7,4
2023 - 2024,SCH,Spotsylvania County Public Schools,Courtland High,Medium Poverty,Non-Title I,6.5,7,16.8,18,3.7,4
2023 - 2024,SCH,Spotsylvania County Public Schools,Freedom Middle,Medium Poverty,All Schools,0,0,18.6,11,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Freedom Middle,Medium Poverty,Non-Title I,0,0,18.6,11,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Harrison Road Elementary,Medium Poverty,All Schools,12.2,6,22.4,11,4.1,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Harrison Road Elementary,Medium Poverty,Title I,12.2,6,22.4,11,4.1,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Lee Hill Elementary,Medium Poverty,All Schools,7.3,3,14.6,6,4.9,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Lee Hill Elementary,Medium Poverty,Non-Title I,7.3,3,14.6,6,4.9,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Livingston Elementary,Medium Poverty,All Schools,9.1,3,3,1,3,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Livingston Elementary,Medium Poverty,Title I,9.1,3,3,1,3,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Massaponax High,Medium Poverty,All Schools,8,9,11.5,13,3.5,4
2023 - 2024,SCH,Spotsylvania County Public Schools,Massaponax High,Medium Poverty,Non-Title I,8,9,11.5,13,3.5,4
2023 - 2024,SCH,Spotsylvania County Public Schools,Ni River Middle,Low Poverty,All Schools,7,4,15.8,9,3.5,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Ni River Middle,Low Poverty,Non-Title I,7,4,15.8,9,3.5,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Parkside Elementary,Medium Poverty,All Schools,5.2,3,32.8,19,3.4,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Parkside Elementary,Medium Poverty,Non-Title I,5.2,3,32.8,19,3.4,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Post Oak Middle,Medium Poverty,All Schools,5.2,3,19,11,5.2,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Post Oak Middle,Medium Poverty,Non-Title I,5.2,3,19,11,5.2,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Riverbend High ,Low Poverty,All Schools,6.4,8,20,25,2.4,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Riverbend High ,Low Poverty,Non-Title I,6.4,8,20,25,2.4,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Riverview Elementary,Medium Poverty,All Schools,4.2,2,6.3,3,2.1,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Riverview Elementary,Medium Poverty,Title I,4.2,2,6.3,3,2.1,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Salem Elementary,Medium Poverty,All Schools,18.2,8,11.4,5,2.3,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Salem Elementary,Medium Poverty,Title I,18.2,8,11.4,5,2.3,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Smith Station Elementary,Medium Poverty,All Schools,10.2,5,16.3,8,6.1,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Smith Station Elementary,Medium Poverty,Non-Title I,10.2,5,16.3,8,6.1,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotswood Elementary,Medium Poverty,All Schools,0,0,14.6,6,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotswood Elementary,Medium Poverty,Title I,0,0,14.6,6,0,0
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania Elementary,Medium Poverty,All Schools,5.1,2,20.5,8,5.1,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania Elementary,Medium Poverty,Title I,5.1,2,20.5,8,5.1,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania High,Medium Poverty,All Schools,4,4,17,17,2,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania High,Medium Poverty,Non-Title I,4,4,17,17,2,2
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania Middle,Medium Poverty,All Schools,8.7,6,29,20,8.7,6
2023 - 2024,SCH,Spotsylvania County Public Schools,Spotsylvania Middle,Medium Poverty,Non-Title I,8.7,6,29,20,8.7,6
2023 - 2024,SCH,Spotsylvania County Public Schools,Thornburg Middle,Medium Poverty,All Schools,5.4,3,12.5,7,5.4,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Thornburg Middle,Medium Poverty,Non-Title I,5.4,3,12.5,7,5.4,3
2023 - 2024,SCH,Spotsylvania County Public Schools,Wilderness Elementary,Medium Poverty,All Schools,8.7,4,13,6,2.2,1
2023 - 2024,SCH,Spotsylvania County Public Schools,Wilderness Elementary,Medium Poverty,Non-Title I,8.7,4,13,6,2.2,1
2023 - 2024,SCH,Stafford County Public Schools,Andrew G. Wright Middle,Low Poverty,All Schools,6.8,4,13.6,8,0,0
2023 - 2024,SCH,Stafford County Public Schools,Andrew G. Wright Middle,Low Poverty,Non-Title I,6.8,4,13.6,8,0,0
2023 - 2024,SCH,Stafford County Public Schools,Anne E. Moncure Elementary,Medium Poverty,All Schools,4.1,2,20.4,10,0,0
2023 - 2024,SCH,Stafford County Public Schools,Anne E. Moncure Elementary,Medium Poverty,Title I,4.1,2,20.4,10,0,0
2023 - 2024,SCH,Stafford County Public Schools,Anthony Burns Elementary,Medium Poverty,All Schools,10,5,10,5,0,0
2023 - 2024,SCH,Stafford County Public Schools,Anthony Burns Elementary,Medium Poverty,Title I,10,5,10,5,0,0
2023 - 2024,SCH,Stafford County Public Schools,Brooke Point High,Medium Poverty,All Schools,8.1,12,10.1,15,0,0
2023 - 2024,SCH,Stafford County Public Schools,Brooke Point High,Medium Poverty,Non-Title I,8.1,12,10.1,15,0,0
2023 - 2024,SCH,Stafford County Public Schools,Colonial Forge High,Low Poverty,All Schools,7.2,10,5.8,8,0,0
2023 - 2024,SCH,Stafford County Public Schools,Colonial Forge High,Low Poverty,Non-Title I,7.2,10,5.8,8,0,0
2023 - 2024,SCH,Stafford County Public Schools,Conway Elementary,Medium Poverty,All Schools,3.8,2,7.5,4,0,0
2023 - 2024,SCH,Stafford County Public Schools,Conway Elementary,Medium Poverty,Title I,3.8,2,7.5,4,0,0
2023 - 2024,SCH,Stafford County Public Schools,Donald B. Dixon-Lyle R. Smith Middle,Low Poverty,All Schools,10.3,6,5.2,3,0,0
2023 - 2024,SCH,Stafford County Public Schools,Donald B. Dixon-Lyle R. Smith Middle,Low Poverty,Non-Title I,10.3,6,5.2,3,0,0
2023 - 2024,SCH,Stafford County Public Schools,Edward E. Drew Jr. Middle,Medium Poverty,All Schools,14,7,10,5,0,0
2023 - 2024,SCH,Stafford County Public Schools,Edward E. Drew Jr. Middle,Medium Poverty,Non-Title I,14,7,10,5,0,0
2023 - 2024,SCH,Stafford County Public Schools,Falmouth Elementary,Medium Poverty,All Schools,8.7,4,8.7,4,0,0
2023 - 2024,SCH,Stafford County Public Schools,Falmouth Elementary,Medium Poverty,Title I,8.7,4,8.7,4,0,0
2023 - 2024,SCH,Stafford County Public Schools,Ferry Farm Elementary,Medium Poverty,All Schools,10.5,4,2.6,1,2.6,1
2023 - 2024,SCH,Stafford County Public Schools,Ferry Farm Elementary,Medium Poverty,Title I,10.5,4,2.6,1,2.6,1
2023 - 2024,SCH,Stafford County Public Schools,Garrisonville Elementary,Medium Poverty,All Schools,7.7,3,10.3,4,2.6,1
2023 - 2024,SCH,Stafford County Public Schools,Garrisonville Elementary,Medium Poverty,Non-Title I,7.7,3,10.3,4,2.6,1
2023 - 2024,SCH,Stafford County Public Schools,Grafton Village Elementary,Low Poverty,All Schools,15.1,8,5.7,3,3.8,2
2023 - 2024,SCH,Stafford County Public Schools,Grafton Village Elementary,Low Poverty,Non-Title I,15.1,8,5.7,3,3.8,2
2023 - 2024,SCH,Stafford County Public Schools,H.H. Poole Middle,Medium Poverty,All Schools,9.7,7,19.4,14,0,0
2023 - 2024,SCH,Stafford County Public Schools,H.H. Poole Middle,Medium Poverty,Non-Title I,9.7,7,19.4,14,0,0
2023 - 2024,SCH,Stafford County Public Schools,Hampton Oaks Elementary,Low Poverty,All Schools,10,5,10,5,0,0
2023 - 2024,SCH,Stafford County Public Schools,Hampton Oaks Elementary,Low Poverty,Non-Title I,10,5,10,5,0,0
2023 - 2024,SCH,Stafford County Public Schools,Hartwood Elementary,Low Poverty,All Schools,14.6,6,4.9,2,0,0
2023 - 2024,SCH,Stafford County Public Schools,Hartwood Elementary,Low Poverty,Non-Title I,14.6,6,4.9,2,0,0
2023 - 2024,SCH,Stafford County Public Schools,Kate Waller Barrett Elementary,Medium Poverty,All Schools,8.5,4,4.3,2,0,0
2023 - 2024,SCH,Stafford County Public Schools,Kate Waller Barrett Elementary,Medium Poverty,Title I,8.5,4,4.3,2,0,0
2023 - 2024,SCH,Stafford County Public Schools,Margaret Brent Elementary ,Low Poverty,All Schools,6.4,3,2.1,1,0,0
2023 - 2024,SCH,Stafford County Public Schools,Margaret Brent Elementary ,Low Poverty,Non-Title I,6.4,3,2.1,1,0,0
2023 - 2024,SCH,Stafford County Public Schools,Mountain View High ,Low Poverty,All Schools,4.2,6,10.4,15,0,0
2023 - 2024,SCH,Stafford County Public Schools,Mountain View High ,Low Poverty,Non-Title I,4.2,6,10.4,15,0,0
2023 - 2024,SCH,Stafford County Public Schools,North Stafford High,Medium Poverty,All Schools,9.8,14,9.8,14,0.7,1
2023 - 2024,SCH,Stafford County Public Schools,North Stafford High,Medium Poverty,Non-Title I,9.8,14,9.8,14,0.7,1
2023 - 2024,SCH,Stafford County Public Schools,Park Ridge Elementary,Low Poverty,All Schools,12.2,6,18.4,9,4.1,2
2023 - 2024,SCH,Stafford County Public Schools,Park Ridge Elementary,Low Poverty,Non-Title I,12.2,6,18.4,9,4.1,2
2023 - 2024,SCH,Stafford County Public Schools,Rockhill Elementary,Medium Poverty,All Schools,6.8,3,2.3,1,0,0
2023 - 2024,SCH,Stafford County Public Schools,Rockhill Elementary,Medium Poverty,Non-Title I,6.8,3,2.3,1,0,0
2023 - 2024,SCH,Stafford County Public Schools,Rocky Run Elementary,Medium Poverty,All Schools,16.1,9,7.1,4,1.8,1
2023 - 2024,SCH,Stafford County Public Schools,Rocky Run Elementary,Medium Poverty,Title I,16.1,9,7.1,4,1.8,1
2023 - 2024,SCH,Stafford County Public Schools,Rodney E. Thompson Middle,Low Poverty,All Schools,10,7,12.9,9,0,0
2023 - 2024,SCH,Stafford County Public Schools,Rodney E. Thompson Middle,Low Poverty,Non-Title I,10,7,12.9,9,0,0
2023 - 2024,SCH,Stafford County Public Schools,Shirley C. Heim Middle,Medium Poverty,All Schools,5.9,4,17.6,12,1.5,1
2023 - 2024,SCH,Stafford County Public Schools,Shirley C. Heim Middle,Medium Poverty,Non-Title I,5.9,4,17.6,12,1.5,1
2023 - 2024,SCH,Stafford County Public Schools,Stafford Elementary,Medium Poverty,All Schools,4.5,2,20.5,9,0,0
2023 - 2024,SCH,Stafford County Public Schools,Stafford Elementary,Medium Poverty,Non-Title I,4.5,2,20.5,9,0,0
2023 - 2024,SCH,Stafford County Public Schools,Stafford Middle,Medium Poverty,All Schools,11.9,8,25.4,17,1.5,1
2023 - 2024,SCH,Stafford County Public Schools,Stafford Middle,Medium Poverty,Non-Title I,11.9,8,25.4,17,1.5,1
2023 - 2024,SCH,Stafford County Public Schools,Stafford Senior High,Medium Poverty,All Schools,6.2,9,8.2,12,1.4,2
2023 - 2024,SCH,Stafford County Public Schools,Stafford Senior High,Medium Poverty,Non-Title I,6.2,9,8.2,12,1.4,2
2023 - 2024,SCH,Stafford County Public Schools,T. Benton Gayle Middle,Medium Poverty,All Schools,0,0,6.3,4,0,0
2023 - 2024,SCH,Stafford County Public Schools,T. Benton Gayle Middle,Medium Poverty,Non-Title I,0,0,6.3,4,0,0
2023 - 2024,SCH,Stafford County Public Schools,Widewater Elementary,Medium Poverty,All Schools,10,4,25,10,0,0
2023 - 2024,SCH,Stafford County Public Schools,Widewater Elementary,Medium Poverty,Title I,10,4,25,10,0,0
2023 - 2024,SCH,Stafford County Public Schools,Winding Creek Elementary,Low Poverty,All Schools,11.8,6,13.7,7,0,0
2023 - 2024,SCH,Stafford County Public Schools,Winding Creek Elementary,Low Poverty,Non-Title I,11.8,6,13.7,7,0,0
2023 - 2024,SCH,Staunton City Public Schools,Arthur R. Ware Elementary,Medium Poverty,All Schools,3.1,1,6.3,2,0,0
2023 - 2024,SCH,Staunton City Public Schools,Arthur R. Ware Elementary,Medium Poverty,Title I,3.1,1,6.3,2,0,0
2023 - 2024,SCH,Staunton City Public Schools,Bessie Weller Elementary,Medium Poverty,All Schools,10.3,3,6.9,2,3.4,1
2023 - 2024,SCH,Staunton City Public Schools,Bessie Weller Elementary,Medium Poverty,Title I,10.3,3,6.9,2,3.4,1
2023 - 2024,SCH,Staunton City Public Schools,Shelburne Middle,Medium Poverty,All Schools,8.7,4,10.9,5,2.2,1
2023 - 2024,SCH,Staunton City Public Schools,Shelburne Middle,Medium Poverty,Non-Title I,8.7,4,10.9,5,2.2,1
2023 - 2024,SCH,Staunton City Public Schools,Staunton High,Medium Poverty,All Schools,1.6,1,1.6,1,0,0
2023 - 2024,SCH,Staunton City Public Schools,Staunton High,Medium Poverty,Non-Title I,1.6,1,1.6,1,0,0
2023 - 2024,SCH,Staunton City Public Schools,Thomas C. McSwain Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Staunton City Public Schools,Thomas C. McSwain Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Booker T. Washington Elementary,Medium Poverty,All Schools,9.4,3,18.8,6,3.1,1
2023 - 2024,SCH,Suffolk City Public Schools,Booker T. Washington Elementary,Medium Poverty,Title I,9.4,3,18.8,6,3.1,1
2023 - 2024,SCH,Suffolk City Public Schools,Colonel Fred Cherry Middle,Medium Poverty,All Schools,3.4,2,10.3,6,1.7,1
2023 - 2024,SCH,Suffolk City Public Schools,Colonel Fred Cherry Middle,Medium Poverty,Non-Title I,3.4,2,10.3,6,1.7,1
2023 - 2024,SCH,Suffolk City Public Schools,Creekside Elementary,Medium Poverty,All Schools,0,0,10.2,5,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Creekside Elementary,Medium Poverty,Title I,0,0,10.2,5,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Elephant's Fork Elementary,Medium Poverty,All Schools,2.1,1,8.5,4,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Elephant's Fork Elementary,Medium Poverty,Title I,2.1,1,8.5,4,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Florence Bowser Elementary,Medium Poverty,All Schools,1.8,1,7.1,4,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Florence Bowser Elementary,Medium Poverty,Non-Title I,1.8,1,7.1,4,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Forest Glen Middle,Medium Poverty,All Schools,0,0,7.9,3,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Forest Glen Middle,Medium Poverty,Non-Title I,0,0,7.9,3,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Hillpoint Elementary,Medium Poverty,All Schools,3.9,2,17.6,9,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Hillpoint Elementary,Medium Poverty,Title I,3.9,2,17.6,9,0,0
2023 - 2024,SCH,Suffolk City Public Schools,John F. Kennedy Middle,Medium Poverty,All Schools,1.9,1,18.9,10,0,0
2023 - 2024,SCH,Suffolk City Public Schools,John F. Kennedy Middle,Medium Poverty,Non-Title I,1.9,1,18.9,10,0,0
2023 - 2024,SCH,Suffolk City Public Schools,John Yeates Middle,Medium Poverty,All Schools,12.2,6,8.2,4,2,1
2023 - 2024,SCH,Suffolk City Public Schools,John Yeates Middle,Medium Poverty,Non-Title I,12.2,6,8.2,4,2,1
2023 - 2024,SCH,Suffolk City Public Schools,Kilby Shores Elementary,Medium Poverty,All Schools,0,0,5.6,2,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Kilby Shores Elementary,Medium Poverty,Title I,0,0,5.6,2,0,0
2023 - 2024,SCH,Suffolk City Public Schools,King's Fork High,Medium Poverty,All Schools,4.1,5,6.5,8,2.4,3
2023 - 2024,SCH,Suffolk City Public Schools,King's Fork High,Medium Poverty,Non-Title I,4.1,5,6.5,8,2.4,3
2023 - 2024,SCH,Suffolk City Public Schools,King's Fork Middle,Medium Poverty,All Schools,6.2,5,27.2,22,3.7,3
2023 - 2024,SCH,Suffolk City Public Schools,King's Fork Middle,Medium Poverty,Non-Title I,6.2,5,27.2,22,3.7,3
2023 - 2024,SCH,Suffolk City Public Schools,Lakeland High,Medium Poverty,All Schools,5.6,5,8.9,8,2.2,2
2023 - 2024,SCH,Suffolk City Public Schools,Lakeland High,Medium Poverty,Non-Title I,5.6,5,8.9,8,2.2,2
2023 - 2024,SCH,Suffolk City Public Schools,Mack Benn Jr. Elementary,Medium Poverty,All Schools,5.7,3,11.3,6,1.9,1
2023 - 2024,SCH,Suffolk City Public Schools,Mack Benn Jr. Elementary,Medium Poverty,Title I,5.7,3,11.3,6,1.9,1
2023 - 2024,SCH,Suffolk City Public Schools,Nansemond Parkway Elementary,Medium Poverty,All Schools,0,0,10.3,4,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Nansemond Parkway Elementary,Medium Poverty,Title I,0,0,10.3,4,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Nansemond River High,Medium Poverty,All Schools,5.8,7,9.9,12,2.5,3
2023 - 2024,SCH,Suffolk City Public Schools,Nansemond River High,Medium Poverty,Non-Title I,5.8,7,9.9,12,2.5,3
2023 - 2024,SCH,Suffolk City Public Schools,Northern Shores Elementary,Medium Poverty,All Schools,9.6,5,3.8,2,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Northern Shores Elementary,Medium Poverty,Non-Title I,9.6,5,3.8,2,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Oakland Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Oakland Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Southwestern Elementary,Medium Poverty,All Schools,0,0,2.5,1,0,0
2023 - 2024,SCH,Suffolk City Public Schools,Southwestern Elementary,Medium Poverty,Title I,0,0,2.5,1,0,0
2023 - 2024,SCH,Surry County Public Schools,Luther P. Jackson Middle,High Poverty,All Schools,8.3,2,16.7,4,8.3,2
2023 - 2024,SCH,Surry County Public Schools,Luther P. Jackson Middle,High Poverty,Title I,8.3,2,16.7,4,8.3,2
2023 - 2024,SCH,Surry County Public Schools,Surry County High,High Poverty,All Schools,8.6,3,17.1,6,2.9,1
2023 - 2024,SCH,Surry County Public Schools,Surry County High,High Poverty,Non-Title I,8.6,3,17.1,6,2.9,1
2023 - 2024,SCH,Surry County Public Schools,Surry Elementary,High Poverty,All Schools,3.3,1,6.7,2,3.3,1
2023 - 2024,SCH,Surry County Public Schools,Surry Elementary,High Poverty,Title I,3.3,1,6.7,2,3.3,1
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central Elementary,High Poverty,All Schools,2.2,1,6.5,3,2.2,1
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central Elementary,High Poverty,Title I,2.2,1,6.5,3,2.2,1
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central High,High Poverty,All Schools,2.3,1,11.4,5,2.3,1
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central High,High Poverty,Title I,2.3,1,11.4,5,2.3,1
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central Middle,High Poverty,All Schools,12.1,4,15.2,5,9.1,3
2023 - 2024,SCH,Sussex County Public Schools,Sussex Central Middle,High Poverty,Title I,12.1,4,15.2,5,9.1,3
2023 - 2024,SCH,Tazewell County Public Schools,Abb's Valley-Boissevain Elementary,Medium Poverty,All Schools,0,0,9.1,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Abb's Valley-Boissevain Elementary,Medium Poverty,Title I,0,0,9.1,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Cedar Bluff Elementary,Medium Poverty,All Schools,0,0,0,0,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Cedar Bluff Elementary,Medium Poverty,Title I,0,0,0,0,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Dudley Primary,Medium Poverty,All Schools,4,1,8,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Dudley Primary,Medium Poverty,Title I,4,1,8,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Graham High,Medium Poverty,All Schools,0,0,6,4,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Graham High,Medium Poverty,Non-Title I,0,0,6,4,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Graham Intermediate,Medium Poverty,All Schools,2.5,1,5,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Graham Intermediate,Medium Poverty,Title I,2.5,1,5,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Graham Middle,Medium Poverty,All Schools,1.9,1,3.8,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Graham Middle,Medium Poverty,Non-Title I,1.9,1,3.8,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Richlands Elementary,Medium Poverty,All Schools,3.6,2,0,0,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Richlands Elementary,Medium Poverty,Title I,3.6,2,0,0,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Richlands High,Medium Poverty,All Schools,3.5,3,4.7,4,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Richlands High,Medium Poverty,Non-Title I,3.5,3,4.7,4,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Richlands Middle,Medium Poverty,All Schools,3.4,2,5.2,3,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Richlands Middle,Medium Poverty,Non-Title I,3.4,2,5.2,3,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell High,Medium Poverty,All Schools,2.4,2,4.8,4,2.4,2
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell High,Medium Poverty,Non-Title I,2.4,2,4.8,4,2.4,2
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell Intermediate,Medium Poverty,All Schools,2.6,1,5.3,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell Intermediate,Medium Poverty,Title I,2.6,1,5.3,2,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell Middle,Medium Poverty,All Schools,2.1,1,2.1,1,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell Middle,Medium Poverty,Non-Title I,2.1,1,2.1,1,0,0
2023 - 2024,SCH,Tazewell County Public Schools,Tazewell Primary,Medium Poverty,All Schools,7,3,4.7,2,2.3,1
